date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2026-01-15,2026,United Arab Emirates Contribution to Sudan Humanitarian Fund (SUHF) 2026,5000000,"United Arab Emirates, Government of",Governments,ARE,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,Sudan Humanitarian Fund,Pooled Funds,,SDN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-01-20,2026-01-15,,,,,374223,OCT/ARE/2026/77941/OCHA(CBPF-OCHA)/SDN/85108 -,2026-01-29,2026-01-29
2026-02-18,2025,"Rohingya Humanitarian Crisis Joint Response Plan
Early Recovery
Enhancing staffing and operational capacities in key resettlement operations and for Complementary Pathways Globally: Resettlement Operational Support component",48450,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-02-18,2025-06-10,,75000,AUD,1.548,379099,25-GOV-AU-007-01,2026-02-18,2026-02-18
2026-01-20,2026,Health	Improved access to essential health services by the vulnerable populations in the conflict affected areas,2443601,"Australia, Government of",Governments,AUS,2026,2026,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,1505,Access to Health Fund,Pooled Funds,Health,MMR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-01-20,2026-01-01,,3648296,AUD,1.493,374227,,2026-01-28,2026-01-28
2025-12-30,2026,Australia Contribution to Sudan Humanitarian Fund (SUHF) 2026,9758466,"Australia, Government of",Governments,AUS,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,Sudan Humanitarian Fund,Pooled Funds,,SDN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-01-13,2026-01-12,,14000000,AUD,1.493,373455,OCT/AUS/2026/77811/OCHA(CBPF-OCHA)/SDN/84944 EOL No 77338/13,2026-02-04,2026-02-04
2025-04-22,,"Promoting resilience of refugees and vulnerable host communities in Jordan, Phase II – PRO-JORDAN II",111111,"Austria, Government of",Governments,AUT,2026,2026,,,,CARE Austria,NGOs,,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-06-16,,,100000,EUR,0.9,346745,2857-00/2024,2025-06-16,2025-06-16
2025-04-22,,"Promoting resilience of refugees and vulnerable host communities in Jordan, Phase II – PRO-JORDAN II",0,"Austria, Government of",Governments,AUT,2024,2027,,,,CARE Austria,NGOs,,JOR,,,,2024,2027,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-06-16,,Multiyear,0,EUR,0.9,346747,2857-00/2024,2025-06-16,2025-07-28
2026-02-17,2025,"Syrian Arab Republic Humanitarian Response Plan 2025
Protection",419625,"Belgium, Government of",Governments,BEL,2026,2026,Syrian Arab Republic Humanitarian Response Priorities 2026,HSYR26,1518,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection,SYR,,,,2026,2026,financial,Pass through,Traditional aid,outgoing,single,paid,2026-02-17,2025-12-04,,362136,EUR,0.863,379020,2025/bv/pv/252 | 25-GOV-BE-001-01,2026-02-17,2026-02-17
2026-02-17,2025,"Syrian Arab Republic Humanitarian Response Plan 2025
Protection - Child Protection",53250,"Belgium, Government of",Governments,BEL,2026,2026,Syrian Arab Republic Humanitarian Response Priorities 2026,HSYR26,1518,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection - Child Protection,SYR,,,,2026,2026,financial,Pass through,Traditional aid,outgoing,single,paid,2026-02-17,2025-12-04,,45955,EUR,0.863,379021,2025/bv/pv/252 | 25-GOV-BE-001-01,2026-02-17,2026-02-17
2026-02-17,2025,"Syrian Arab Republic Humanitarian Response Plan 2025
Protection - Gender Based Violence",53249,"Belgium, Government of",Governments,BEL,2026,2026,Syrian Arab Republic Humanitarian Response Priorities 2026,HSYR26,1518,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection - Gender-Based Violence,SYR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-02-17,2025-12-04,,45954,EUR,0.863,379022,2025/bv/pv/252 | 25-GOV-BE-001-01,2026-02-17,2026-02-17
